S.No,User ID,Name,Email,Phone,Onboard Date,Install Date,App Version,Package Version,GAID,IDFA,Net Revenue,Payment Count,First Payment Date,Last Payment Date,Campaign ID,Campaign Name,Ad Set ID,Ad Set Name,Ad ID,Ad Name
1,user_4405809747,Arjun Bose,arjun.bose@example.com,+919822633036,2026-07-16 00:00:00,2026-07-15 00:00:00,4.3.4,1.22.0,79cb9e86-830c-71c2-cdcc-69292f45e678,,0,0,,,GA_20000000000,Summer_Sale_Android,103524064077,Lookalike_1pct_3,101898212744,Carousel_Bestsellers_3
2,user_1153127525,Aarav Kapoor,aarav.kapoor@example.com,+919842473041,2026-07-16 00:00:00,2026-07-15 00:00:00,4.0.7,1.25.3,8743feb6-d4ea-65d0-03d7-16849f8558a6,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212480,Static_Product_Blue_1
3,user_6489667868,Ananya Nair,ananya.nair@example.com,+919883989902,2026-07-23 00:00:00,2026-07-21 00:00:00,4.0.4,1.25.1,15c1d2df-a996-4aef-012d-0ea67ff12229,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063912,Interest_Fitness_2,101898212744,Carousel_Bestsellers_3
4,user_5114760733,Aarav Patel,aarav.patel@example.com,+919810073140,2026-07-19 00:00:00,2026-07-19 00:00:00,4.1.3,1.20.3,4a789cb3-d8b9-b45c-1b98-fbe466809a11,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063912,Interest_Fitness_2,101898212480,Static_Product_Blue_1
5,user_2428444401,Kabir Kapoor,kabir.kapoor@example.com,+919865036102,2026-07-04 00:00:00,2026-07-03 00:00:00,4.0.2,1.23.5,563e9bed-4510-0358-acc6-d8f2c74c7ccf,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212611,Video_15s_Testimonial_2
6,user_5857466635,Aarav Bose,aarav.bose@example.com,+919896397981,2026-07-29 00:00:00,2026-07-26 00:00:00,4.3.1,1.26.3,303a07b2-8f2d-f760-ae9c-a08b2d7c5048,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063912,Interest_Fitness_2,101898212744,Carousel_Bestsellers_3
7,user_6099446279,Aarav Desai,aarav.desai@example.com,+919890801554,2026-07-28 00:00:00,2026-07-26 00:00:00,4.0.0,1.22.1,,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212480,Static_Product_Blue_1
8,user_2043732568,Aarav Reddy,aarav.reddy@example.com,+919890702951,2026-07-13 00:00:00,2026-07-10 00:00:00,4.2.5,1.29.3,356f8bd1-1711-eb57-1304-145212ca3f70,,0,0,,,GA_20000000000,Summer_Sale_Android,103524064077,Lookalike_1pct_3,101898212744,Carousel_Bestsellers_3
9,user_4901650223,Sara Bose,sara.bose@example.com,+919891932517,2026-07-20 00:00:00,2026-07-19 00:00:00,4.1.3,1.22.5,a0931ed4-2ecd-cc0a-62d7-4145ddd4a054,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212611,Video_15s_Testimonial_2
10,user_1445988042,Arjun Nair,arjun.nair@example.com,+919815193752,2026-07-25 00:00:00,2026-07-22 00:00:00,4.2.3,1.26.2,14186ebf-9a81-37e9-7b86-2eace1d7300f,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063912,Interest_Fitness_2,101898212480,Static_Product_Blue_1
11,user_5613396482,Sara Bose,sara.bose@example.com,+919838507878,2026-07-11 00:00:00,2026-07-10 00:00:00,4.1.0,1.21.2,119b4fe5-fa28-5a0d-b869-135cede26c2e,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212480,Static_Product_Blue_1
12,user_2555401614,Ananya Sharma,ananya.sharma@example.com,+919870444382,2026-07-03 00:00:00,2026-07-02 00:00:00,4.2.8,1.29.1,9279b1e9-87ef-da6b-5e68-b7ca482ea760,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212480,Static_Product_Blue_1
13,user_3071186680,Aarav Bose,aarav.bose@example.com,+919851750176,2026-07-14 00:00:00,2026-07-12 00:00:00,4.2.2,1.21.0,992ef438-0571-3dc6-0896-32e3f6782941,,0,0,,,GA_20000000000,Summer_Sale_Android,103524064077,Lookalike_1pct_3,101898212480,Static_Product_Blue_1
14,user_8237646756,Meera Sharma,meera.sharma@example.com,+919820424597,2026-07-25 00:00:00,2026-07-24 00:00:00,4.3.0,1.27.4,57740511-ea3d-9be7-f6a0-0758cb138653,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063912,Interest_Fitness_2,101898212480,Static_Product_Blue_1
15,user_9561253600,Kabir Kapoor,kabir.kapoor@example.com,+919865867630,2026-07-19 00:00:00,2026-07-19 00:00:00,4.2.6,1.29.3,1734bc44-1488-1edc-127e-eabe9bdeb398,,0,0,,,GA_20000000000,Summer_Sale_Android,103524064077,Lookalike_1pct_3,101898212480,Static_Product_Blue_1
16,user_5779804413,Arjun Patel,arjun.patel@example.com,+919892477231,2026-07-17 00:00:00,2026-07-17 00:00:00,4.3.4,1.20.2,7b1ffc6a-1675-9ecb-99ed-d4d14f6b8f60,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212480,Static_Product_Blue_1
17,user_4829937980,Sara Nair,sara.nair@example.com,+919853883911,2026-07-18 00:00:00,2026-07-17 00:00:00,4.3.4,1.23.5,a8f51ac5-57af-aba6-e7dd-5eedc0f727ad,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063912,Interest_Fitness_2,101898212611,Video_15s_Testimonial_2
18,user_7427277011,Ananya Nair,ananya.nair@example.com,+919815445540,2026-07-14 00:00:00,2026-07-13 00:00:00,4.0.4,1.22.0,35bb8498-5105-4839-ebb9-c59695468325,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063818,Core_Audience_1,101898212480,Static_Product_Blue_1
19,user_7238342684,Vikram Nair,vikram.nair@example.com,+919820023274,2026-07-17 00:00:00,2026-07-14 00:00:00,4.0.4,1.29.0,ac11d871-7e6e-9dbe-851d-1a33a0301309,,0,0,,,GA_20000000000,Summer_Sale_Android,103524063912,Interest_Fitness_2,101898212744,Carousel_Bestsellers_3
